distrito,codigo_seccion,habitantes,mujer_sola_16_64,hombre_solo_16_64,mujer_sola_65omas,hombre_solo_65omas,mujer_con_menores,hombre_con_menores,pareja_16_64_sin_menores,pareja_1_65omas_sin_menores,pareja_con_1menor,pareja_con_2menores,pareja_con_3omas_menores,2adultos35omas_1joven_sin_menores,2adultos35omas_1joven_1menor,2adultos35omas_1joven_2omas_menores,3adultos_con_sin_menores,2adultos35omas_2jovenes_sin_menores,2adultos35omas_2jovenes_1menor,2adultos35omas_2jovenes_2omas_menores,4adultos_con_sin_menores,5omas_adultos,hogar_15omas,menores_solos
11. Carabanchel,11128,418.0,27.0,28.0,33.0,19.0,5.0,0.0,46.0,54.0,9.0,11.0,11.0,18.0,6.0,11.0,41.0,9.0,5.0,3.0,36.0,46.0,0.0,0.0
11. Carabanchel,11129,337.0,14.0,25.0,29.0,15.0,14.0,3.0,32.0,43.0,9.0,10.0,3.0,13.0,4.0,4.0,39.0,15.0,6.0,0.0,27.0,32.0,0.0,0.0
11. Carabanchel,11130,627.0,31.0,33.0,61.0,20.0,15.0,2.0,59.0,75.0,31.0,24.0,11.0,47.0,19.0,9.0,58.0,21.0,9.0,2.0,39.0,61.0,0.0,0.0
11. Carabanchel,11131,388.0,30.0,25.0,42.0,15.0,11.0,0.0,48.0,42.0,15.0,8.0,2.0,16.0,7.0,6.0,35.0,10.0,7.0,3.0,26.0,40.0,0.0,0.0
11. Carabanchel,11132,346.0,16.0,20.0,36.0,10.0,10.0,1.0,45.0,40.0,20.0,12.0,4.0,20.0,7.0,2.0,41.0,5.0,3.0,4.0,12.0,38.0,0.0,0.0
11. Carabanchel,11133,420.0,28.0,21.0,58.0,17.0,6.0,1.0,35.0,77.0,23.0,11.0,7.0,17.0,9.0,2.0,43.0,17.0,5.0,2.0,20.0,21.0,0.0,0.0
11. Carabanchel,11134,338.0,15.0,14.0,58.0,9.0,3.0,0.0,41.0,54.0,16.0,13.0,2.0,20.0,8.0,2.0,29.0,6.0,7.0,0.0,16.0,24.0,0.0,1.0
11. Carabanchel,11135,356.0,25.0,23.0,36.0,10.0,8.0,1.0,35.0,57.0,14.0,11.0,3.0,27.0,4.0,4.0,36.0,17.0,3.0,1.0,20.0,21.0,0.0,0.0
11. Carabanchel,11136,495.0,37.0,36.0,60.0,20.0,11.0,1.0,51.0,71.0,26.0,22.0,2.0,44.0,3.0,2.0,36.0,22.0,5.0,2.0,17.0,27.0,0.0,0.0
11. Carabanchel,11137,810.0,57.0,39.0,58.0,18.0,18.0,3.0,82.0,125.0,62.0,35.0,10.0,55.0,28.0,4.0,57.0,74.0,5.0,0.0,34.0,44.0,2.0,0.0
11. Carabanchel,11138,428.0,37.0,34.0,27.0,16.0,12.0,6.0,59.0,41.0,22.0,23.0,0.0,33.0,5.0,5.0,31.0,18.0,3.0,1.0,19.0,33.0,0.0,3.0
11. Carabanchel,11139,478.0,43.0,43.0,36.0,17.0,9.0,0.0,55.0,69.0,23.0,14.0,5.0,30.0,11.0,1.0,43.0,14.0,7.0,0.0,23.0,34.0,1.0,0.0
11. Carabanchel,11140,624.0,35.0,52.0,42.0,12.0,27.0,3.0,91.0,46.0,47.0,33.0,1.0,36.0,23.0,3.0,64.0,28.0,12.0,1.0,27.0,40.0,1.0,0.0
11. Carabanchel,11141,486.0,47.0,46.0,43.0,14.0,14.0,3.0,67.0,67.0,23.0,12.0,1.0,32.0,8.0,2.0,33.0,22.0,1.0,1.0,22.0,26.0,1.0,1.0
11. Carabanchel,11142,298.0,18.0,26.0,31.0,15.0,5.0,1.0,27.0,52.0,18.0,11.0,0.0,17.0,6.0,2.0,25.0,15.0,1.0,0.0,13.0,15.0,0.0,0.0
11. Carabanchel,11143,539.0,32.0,57.0,75.0,18.0,8.0,0.0,54.0,76.0,28.0,17.0,3.0,38.0,12.0,3.0,38.0,17.0,4.0,3.0,30.0,26.0,0.0,0.0
11. Carabanchel,11145,480.0,19.0,31.0,76.0,19.0,8.0,1.0,50.0,84.0,23.0,9.0,3.0,32.0,3.0,3.0,37.0,20.0,5.0,3.0,24.0,30.0,0.0,0.0
11. Carabanchel,11146,531.0,21.0,22.0,64.0,21.0,13.0,1.0,52.0,111.0,31.0,16.0,3.0,28.0,10.0,8.0,48.0,12.0,5.0,2.0,19.0,43.0,0.0,1.0
11. Carabanchel,11147,573.0,20.0,54.0,68.0,16.0,8.0,0.0,41.0,126.0,27.0,17.0,3.0,44.0,13.0,6.0,55.0,26.0,0.0,1.0,25.0,23.0,0.0,0.0
11. Carabanchel,11148,1000.0,102.0,123.0,67.0,20.0,38.0,6.0,126.0,103.0,74.0,77.0,8.0,62.0,18.0,8.0,65.0,37.0,5.0,3.0,33.0,25.0,0.0,0.0
11. Carabanchel,11149,392.0,30.0,25.0,69.0,12.0,7.0,0.0,43.0,61.0,14.0,20.0,1.0,22.0,8.0,3.0,24.0,15.0,3.0,0.0,8.0,27.0,0.0,0.0
11. Carabanchel,11150,451.0,34.0,42.0,35.0,12.0,14.0,3.0,50.0,56.0,24.0,12.0,2.0,41.0,18.0,5.0,33.0,30.0,4.0,0.0,15.0,20.0,1.0,0.0
11. Carabanchel,11151,429.0,27.0,33.0,41.0,17.0,8.0,1.0,67.0,58.0,21.0,6.0,3.0,27.0,14.0,7.0,30.0,21.0,4.0,2.0,18.0,24.0,0.0,0.0
